商品id,商品名称,规格id,商品规格,商品类型,规格编号,销售价,市场价,成本价,库存,所属分类,商品品牌,商品状态,审核状态,点击量,销量,收藏量
188	,测试啦啊	,1103	,	,虚拟商品	,	,100.00	,0.00	,0.00	,100000	,美食	,	,下架	,违规下架	,61	,0	,2	
189	,花材婚庆	,1104	,	,虚拟商品	,	,0.01	,0.00	,0.00	,10000	,二手	,	,正常	,已审核	,114	,0	,2	
190	,300W摇头光束灯	,1105	,	,虚拟商品	,	,0.01	,0.00	,0.00	,991	,二手	,	,正常	,已审核	,115	,9	,1	
191	,租宝马	,1106	,1天	,虚拟商品	,	,0.01	,100.00	,100.00	,92	,租赁	,	,正常	,已审核	,32	,6	,0	
191	,租宝马	,1107	,2天	,虚拟商品	,	,0.02	,200.00	,200.00	,95	,租赁	,	,正常	,已审核	,0	,5	,0	
192	,追光灯	,1108	,	,实物商品	,	,0.01	,0.00	,0.00	,20	,二手	,	,正常	,已审核	,111	,11	,0	
193	,婚礼道具	,1109	,	,实物商品	,575425	,0.10	,0.10	,0.10	,990	,二手	,哇哈哈	,正常	,已审核	,103	,0	,0	
194	,婚礼道具	,1110	,	,实物商品	,	,213.00	,123.00	,123.00	,4	,二手	,	,正常	,已审核	,68	,0	,2	
195	,怒光和热	,1111	,	,实物商品	,	,45.00	,12.00	,21.00	,3	,二手	,哇哈哈	,下架	,已审核	,52	,0	,0	
191	,租宝马	,1117	,3	,虚拟商品	,	,0.03	,300.00	,300.00	,96	,租赁	,	,正常	,已审核	,0	,0	,0	
